symbol,regime,vol_ratio,rsi_strength,rsi_div_regular,rsi_div_hidden,macd_div,sentiment_fg,mtf_bias,confluence_score,entry_to_sl,direction_encoded,outcome_win,duration_candles,r_multiple
BNBUSDT,VOLATILE,1.2664106192609739,0.16535890729438962,1,0,1,50,0.0,0.08,1.500000084266285,1.0,1,51,1.333
BNBUSDT,NORMAL,1.0655104247301854,0.2791225416036289,0,0,0,50,0.0,0.07,1.500000139165007,1.0,1,1,1.333
BNBUSDT,VOLATILE,1.3495933355688396,0.26504629629629917,0,0,1,50,0.0,0.07,1.4999998950052649,1.0,1,2,1.333
BNBUSDT,VOLATILE,1.6817276698899803,0.45054945054945506,0,0,0,50,0.0,0.08,1.4999999999999982,1.0,0,10,-1.0
BNBUSDT,VOLATILE,1.8809909143830656,0.05892778023925544,0,0,0,50,0.0,0.07,1.4999999180615806,1.0,0,21,-1.0
BNBUSDT,NORMAL,0.9707370433304997,0.5921892602328171,0,0,0,50,0.0,0.09,1.4999998909996946,1.0,1,5,1.333
BNBUSDT,NORMAL,0.920700323442554,0.04245481294661588,0,0,0,50,0.0,0.07,1.4999998797250973,1.0,0,5,-1.0
BNBUSDT,CHOPPY,0.7533118271547282,0.3239984441851416,0,0,0,50,0.0,0.07,1.5000001296056056,-1.0,1,7,1.333
BNBUSDT,CHOPPY,0.7318357289358094,0.3514408744617359,0,0,0,50,0.0,0.07,1.500000000000001,1.0,0,1,-1.0
BNBUSDT,NORMAL,0.9054434227265387,0.5332310838445778,0,0,0,50,0.0,0.07,1.5000000000000056,1.0,0,15,-1.0
BNBUSDT,NORMAL,0.9687307205247279,0.18963616317530524,0,0,0,50,0.0,0.07,1.5000001397484717,-1.0,1,4,1.333
BNBUSDT,NORMAL,0.9256946083937262,0.44317417619367716,1,0,1,50,0.0,0.08,1.4999998833722052,-1.0,0,12,-1.0
BNBUSDT,NORMAL,0.9426887677293281,0.15660377358490393,1,0,0,50,0.0,0.08,1.4999998707056048,-1.0,1,14,1.333
XRPUSDT,NORMAL,0.8049334188150927,0.004975124378108831,0,0,0,50,0.0,0.07,1.4999999999999856,-1.0,1,5,1.333
XRPUSDT,NORMAL,0.988989818662425,0.09559939301972634,0,0,0,50,0.0,0.08,1.5000509113124902,-1.0,1,8,1.333
XRPUSDT,VOLATILE,1.3392442448999087,0.2392273402674587,0,0,0,50,0.0,0.07,1.50000000000001,-1.0,0,1,-1.0
XRPUSDT,VOLATILE,1.4348462664714567,0.0,0,0,0,50,0.0,0.07,1.499999999999991,-1.0,0,9,-1.0
XRPUSDT,NORMAL,1.1421049576703326,0.251908396946566,1,0,1,50,0.0,0.08,1.500000000000001,1.0,1,1,1.333
